Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
59,29,조병현,SSG,투수,272000,609.21,645.8,-36.59,2.49,278090,272610,274490
60,30,김원중,롯데,투수,271000,573.8,649.3,-75.5,2.63,276740,271570,273630
61,31,강민호,삼성,타자,270000,1023.2,800,223.2,3.48,280230,271020,273480
62,33,엄상백,KT,투수,268000,557.19,618.3,-61.11,3.95,273570,268560,271950
63,31,김영규,NC,투수,270000,566.78,487.5,79.28,1.49,275670,270570,271490
64,32,브랜든,두산,투수,269000,558.13,531.7,26.43,2.32,274580,269560,271320
65,35,쿠에바스,KT,투수,266000,551.2,614.1,-62.9,4.94,271510,266550,270940
66,32,나성범,KIA,타자,269000,1010.79,785.8,224.99,1.81,279110,270010,270810
67,34,김영웅,삼성,타자,267000,993.49,745.7,247.79,3.2,276930,267990,270200
68,35,정수빈,두산,타자,266000,972.68,820.8,151.88,3.11,275730,266970,269110
69,37,김지찬,삼성,타자,264000,924.98,805.5,119.48,4.57,273250,264920,268570
70,38,박민우,NC,타자,263000,919.16,784.5,134.66,5.51,272190,263920,268510
71,34,문승원,SSG,투수,267000,555.45,721.8,-166.35,1.04,272550,267560,268040
72,33,한유섬,SSG,타자,268000,1005.97,821.9,184.07,-0.19,278060,269010,267810
73,37,손주영,LG,투수,264000,531.95,516.1,15.85,3.67,269320,264530,267670
74,36,최원준,KIA,타자,265000,968.47,776.3,192.17,2.33,274680,265970,267330
75,36,장현식,KIA,투수,265000,541.99,473.6,68.39,1.68,270420,265540,266680
76,39,강승호,두산,타자,262000,904.95,799.2,105.75,4.54,271050,262900,266540
77,39,벤자민,KT,투수,262000,495.32,611.4,-116.08,3.07,266950,262500,265070
78,38,김태훈,삼성,투수,263000,524.95,509.6,15.35,0.84,268250,263520,263840
79,41,와이스,한화,투수,260000,486.58,479.4,7.18,3.15,264870,260490,263150
80,40,최지훈,SSG,타자,261000,900.17,761,139.17,2.08,270000,261900,263080
81,42,김광현,SSG,투수,259000,477.16,539.7,-62.54,3.9,263770,259480,262900
82,40,김상수,롯데,투수,261000,489.22,561.3,-72.08,1.2,265890,261490,262200
83,43,박성한,SSG,타자,258000,874.55,712.8,161.75,4.08,266750,258870,262080
84,41,안치홍,한화,타자,260000,897.95,767.1,130.85,1.91,268980,260900,261910
85,44,이재현,삼성,타자,257000,864.47,693.5,170.97,4.14,265640,257860,261140
86,42,김현수,LG,타자,259000,876.3,835.8,40.5,1,267760,259880,260000
87,45,박찬호,KIA,타자,256000,859.66,710.3,149.36,3.91,264600,256860,259910
88,44,최원태,LG,투수,257000,451.55,482.1,-30.55,2.77,261520,257450,259770
89,43,홍건희,두산,투수,258000,462.13,477,-14.87,1.24,262620,258460,259240
90,48,박동원,LG,타자,253000,832.11,735,97.11,4.73,261320,253830,257730
91,45,최지강,두산,투수,256000,422.83,399.8,23.03,1.01,260230,256420,257010
92,46,전준우,롯데,타자,255000,853.84,809.8,44.04,1.94,263540,255850,256940
93,46,카스타노,NC,투수,255000,422.7,503.5,-80.8,1.85,259230,255420,256850
94,47,김선빈,KIA,타자,254000,853.29,616.3,236.99,2.04,262530,254850,256040
